Nombre Categoría Serie;Nombre Categoría Subserie;Nombre del Activo;Idioma;Medio de Conservación y/o Soporte;Fecha de Generación Información;Nombre de Responsable Activo Generación;Nombre de Responsable Activo Información;Clasificación;Objetivo legítimo de la excepción;Fundamento constitucional o legal;Fundamento Jurídico de la Excepción;Excepción total o parcial;Fecha de la Calificación;Plazo de Clasificación o Reserva
"Instrumentos de Control
";Registro de control de comunicaciones Oficiales Recibidas;Registro de control de comunicaciones Oficiales Recibidas;Español;Físico - Papel;2/9/2015;"Oficina de Quejas y Reclamos
Responsable del proceso.";Oficina de Quejas y Reclamos;Pública Clasificada;"Activo de Información que es utilizado por sólo un grupo de funcionarios para realizar sus labores y que no puede ser conocida por otros funcionarios o terceros sin autorización especial de la Entidad, y que por estar en poder o custodia de la SDH, pertenece al ámbito propio, particular y privado o semiprivado de una persona natural o jurídica por lo que su acceso podrá ser negado o exceptuado de manera motivada y por escrito, los cuales se refieren a los eventos en que el acceso pudiere causar un daño a los siguientes derechos:
a) El derecho de toda persona a la intimidad, bajo las limitaciones propias que impone la condición de servidor público
b) El derecho de toda persona a la vida, la salud o la seguridad
c)Los secretos comerciales, industriales y profesionales
d) Proyectos de inversión de empresas industriales y comerciales del Estado y Sociedades de Economía Mixta 
No obstante, entiéndase también que datos públicos clasificados,  son aquellos datos personales que no tienen naturaleza íntima, reservada, ni pública y que, por ende, su conocimiento puede interesar no sólo a su titular sino a cierto sector o grupo de personas o a la sociedad en general.";Ley estatutaria 1266 de 2008 -Hábeas Data manejo de información contenida en bases de datos personales, en especial la financiera, crediticia, comercial, de servicios y la proveniente de terceros países, – art 3 los datos personales se clasifican en públicos, semiprivados y privados. ;"Ley estatutaria 1266 de 2008 -Hábeas Data:

Los datos semiprivados son aquellos datos personales que no tienen naturaleza íntima, reservada, ni pública y que, por ende, su conocimiento puede interesar no solo a su titular sino a cierto sector o grupo de personas o a la sociedad en general.  Ejemplo de esta categoría, es el dato financiero y crediticio de actividad comercial o de servicios. 

“Esta Corporación ha reconocido que el acceso a la información semiprivada el acceso a la información es un acto compatible por la Constitución, además de la necesidad de ponderar el ejercicio del derecho al hábeas data del titular de la información semiprivada.” sentencia C-1011 de 2008

 ";La excepción aplica sólo a los datos personales de los peticionarios;2/9/2015;No especifica
Defensor del Ciudadano;No Aplica;Defensor del Ciudadano;Español;Físico - Papel;2/9/2015;"Oficina de Quejas y Reclamos
Responsable del proceso.";Oficina de Quejas y Reclamos;Pública Clasificada;"Activo de Información que es utilizado por sólo un grupo de funcionarios para realizar sus labores y que no puede ser conocida por otros funcionarios o terceros sin autorización especial de la Entidad, y que por estar en poder o custodia de la SDH, pertenece al ámbito propio, particular y privado o semiprivado de una persona natural o jurídica por lo que su acceso podrá ser negado o exceptuado de manera motivada y por escrito, los cuales se refieren a los eventos en que el acceso pudiere causar un daño a los siguientes derechos:
a) El derecho de toda persona a la intimidad, bajo las limitaciones propias que impone la condición de servidor público
b) El derecho de toda persona a la vida, la salud o la seguridad
c)Los secretos comerciales, industriales y profesionales
d) Proyectos de inversión de empresas industriales y comerciales del Estado y Sociedades de Economía Mixta 
No obstante, entiéndase también que datos públicos clasificados,  son aquellos datos personales que no tienen naturaleza íntima, reservada, ni pública y que, por ende, su conocimiento puede interesar no sólo a su titular sino a cierto sector o grupo de personas o a la sociedad en general.";Ley estatutaria 1266 de 2008 -Hábeas Data manejo de información contenida en bases de datos personales, en especial la financiera, crediticia, comercial, de servicios y la proveniente de terceros países, – art 3 los datos personales se clasifican en públicos, semiprivados y privados. ;"Ley estatutaria 1266 de 2008 -Hábeas Data:

Los datos semiprivados son aquellos datos personales que no tienen naturaleza íntima, reservada, ni pública y que, por ende, su conocimiento puede interesar no solo a su titular sino a cierto sector o grupo de personas o a la sociedad en general.  Ejemplo de esta categoría, es el dato financiero y crediticio de actividad comercial o de servicios. 

“Esta Corporación ha reconocido que el acceso a la información semiprivada el acceso a la información es un acto compatible por la Constitución, además de la necesidad de ponderar el ejercicio del derecho al hábeas data del titular de la información semiprivada.” sentencia C-1011 de 2008

 ";La excepción aplica sólo a los datos personales del peticionario;2/9/2015;No especifica
Informes;Informes a Otras Entidades;Informes a Otras Entidades;Español;Físico - Papel, Digital - Excel,  Power Point y Word;2/9/2015;Subdirección de Análisis Sectorial Responsable del Proceso;Subdirección de Análisis Sectorial;Pública Clasificada;"Activo de Información que es utilizado por sólo un grupo de funcionarios para realizar sus labores y que no puede ser conocida por otros funcionarios o terceros sin autorización especial de la Entidad, y que por estar en poder o custodia de la SDH, pertenece al ámbito propio, particular y privado o semiprivado de una persona natural o jurídica por lo que su acceso podrá ser negado o exceptuado de manera motivada y por escrito, los cuales se refieren a los eventos en que el acceso pudiere causar un daño a los siguientes derechos:
a) El derecho de toda persona a la intimidad, bajo las limitaciones propias que impone la condición de servidor público
b) El derecho de toda persona a la vida, la salud o la seguridad
c)Los secretos comerciales, industriales y profesionales
d) Proyectos de inversión de empresas industriales y comerciales del Estado y Sociedades de Economía Mixta 
No obstante, entiéndase también que datos públicos clasificados,  son aquellos datos personales que no tienen naturaleza íntima, reservada, ni pública y que, por ende, su conocimiento puede interesar no sólo a su titular sino a cierto sector o grupo de personas o a la sociedad en general.";Ley 1712;Artículo  19. Información exceptuada por daño a los intereses públicos.;Aplica a los informes o documentos contienen información privada del originador de la iniciativa (caso de APP de iniciativa privada o mixta), modelos financieros, análisis de riesgos, minutas contractuales y demás información que por su connotación precontractual se nos trasladan la reserva y la debemos conservar.;2/9/2015;No especifica
Contratos;No Aplica;"Contratos
(Etapa Precontractual)";Español;Físico - Papel;2/9/2015;Subdirección de Asuntos Contractuales Responsable del proceso;Subdirección de Asuntos Contractuales;Pública Clasificada;"Activo de Información que es utilizado por sólo un grupo de funcionarios para realizar sus labores y que no puede ser conocida por otros funcionarios o terceros sin autorización especial de la Entidad, y que por estar en poder o custodia de la SDH, pertenece al ámbito propio, particular y privado o semiprivado de una persona natural o jurídica por lo que su acceso podrá ser negado o exceptuado de manera motivada y por escrito, los cuales se refieren a los eventos en que el acceso pudiere causar un daño a los siguientes derechos:
a) El derecho de toda persona a la intimidad, bajo las limitaciones propias que impone la condición de servidor público
b) El derecho de toda persona a la vida, la salud o la seguridad
c)Los secretos comerciales, industriales y profesionales
d) Proyectos de inversión de empresas industriales y comerciales del Estado y Sociedades de Economía Mixta 
No obstante, entiéndase también que datos públicos clasificados,  son aquellos datos personales que no tienen naturaleza íntima, reservada, ni pública y que, por ende, su conocimiento puede interesar no sólo a su titular sino a cierto sector o grupo de personas o a la sociedad en general.";Ley 80 de 1993 y Código de Comercio ;Ley 80 de 1993 y Código de Comercio ;La excepción aplica sólo a los datos personales o los protegidos por ley 80 de 1993 y código de comercio  ;2/9/2015;No especifica
Procesos  de selección declarados desiertos;No Aplica;Procesos  de selección declarados desiertos;Español;Físico - Papel;2/9/2015;Subdirección de Asuntos Contractuales Responsable del proceso;Subdirección de Asuntos Contractuales;Pública Clasificada;"Activo de Información que es utilizado por sólo un grupo de funcionarios para realizar sus labores y que no puede ser conocida por otros funcionarios o terceros sin autorización especial de la Entidad, y que por estar en poder o custodia de la SDH, pertenece al ámbito propio, particular y privado o semiprivado de una persona natural o jurídica por lo que su acceso podrá ser negado o exceptuado de manera motivada y por escrito, los cuales se refieren a los eventos en que el acceso pudiere causar un daño a los siguientes derechos:
a) El derecho de toda persona a la intimidad, bajo las limitaciones propias que impone la condición de servidor público
b) El derecho de toda persona a la vida, la salud o la seguridad
c)Los secretos comerciales, industriales y profesionales
d) Proyectos de inversión de empresas industriales y comerciales del Estado y Sociedades de Economía Mixta 
No obstante, entiéndase también que datos públicos clasificados,  son aquellos datos personales que no tienen naturaleza íntima, reservada, ni pública y que, por ende, su conocimiento puede interesar no sólo a su titular sino a cierto sector o grupo de personas o a la sociedad en general.";Ley estatutaria 1266 de 2008 -Hábeas Data manejo de información contenida en bases de datos personales, en especial la financiera, crediticia, comercial, de servicios y la proveniente de terceros países, – art 3 los datos personales se clasifican en públicos, semiprivados y privados. ;"Ley estatutaria 1266 de 2008 -Hábeas Data:

Los datos semiprivados son aquellos datos personales que no tienen naturaleza íntima, reservada, ni pública y que, por ende, su conocimiento puede interesar no solo a su titular sino a cierto sector o grupo de personas o a la sociedad en general.  Ejemplo de esta categoría, es el dato financiero y crediticio de actividad comercial o de servicios. 

“Esta Corporación ha reconocido que el acceso a la información semiprivada el acceso a la información es un acto compatible por la Constitución, además de la necesidad de ponderar el ejercicio del derecho al hábeas data del titular de la información semiprivada.” sentencia C-1011 de 2008

 ";No Aplica;2/9/2015;No especifica
Propuestas no aceptadas;No Aplica;Propuestas no aceptadas;Español;Físico - Papel;2/9/2015;Subdirección de Asuntos Contractuales Responsable del proceso;Subdirección de Asuntos Contractuales;Pública Clasificada;"Activo de Información que es utilizado por sólo un grupo de funcionarios para realizar sus labores y que no puede ser conocida por otros funcionarios o terceros sin autorización especial de la Entidad, y que por estar en poder o custodia de la SDH, pertenece al ámbito propio, particular y privado o semiprivado de una persona natural o jurídica por lo que su acceso podrá ser negado o exceptuado de manera motivada y por escrito, los cuales se refieren a los eventos en que el acceso pudiere causar un daño a los siguientes derechos:
a) El derecho de toda persona a la intimidad, bajo las limitaciones propias que impone la condición de servidor público
b) El derecho de toda persona a la vida, la salud o la seguridad
c)Los secretos comerciales, industriales y profesionales
d) Proyectos de inversión de empresas industriales y comerciales del Estado y Sociedades de Economía Mixta 
No obstante, entiéndase también que datos públicos clasificados,  son aquellos datos personales que no tienen naturaleza íntima, reservada, ni pública y que, por ende, su conocimiento puede interesar no sólo a su titular sino a cierto sector o grupo de personas o a la sociedad en general.";Ley estatutaria 1266 de 2008 -Hábeas Data manejo de información contenida en bases de datos personales, en especial la financiera, crediticia, comercial, de servicios y la proveniente de terceros países, – art 3 los datos personales se clasifican en públicos, semiprivados y privados. ;"Ley estatutaria 1266 de 2008 -Hábeas Data:

Los datos semiprivados son aquellos datos personales que no tienen naturaleza íntima, reservada, ni pública y que, por ende, su conocimiento puede interesar no solo a su titular sino a cierto sector o grupo de personas o a la sociedad en general.  Ejemplo de esta categoría, es el dato financiero y crediticio de actividad comercial o de servicios. 

“Esta Corporación ha reconocido que el acceso a la información semiprivada el acceso a la información es un acto compatible por la Constitución, además de la necesidad de ponderar el ejercicio del derecho al hábeas data del titular de la información semiprivada.” sentencia C-1011 de 2008

 ";No Aplica;2/9/2015;No especifica
Peticiones, quejas, reclamos y soluciones - PQRS;No Aplica;Peticiones, quejas, reclamos y soluciones - PQRS;Español;Físico - Papel;2/9/2015;Subdirección de Asuntos Contractuales Responsable del proceso;Subdirección de Asuntos Contractuales;Pública Clasificada;"Activo de Información que es utilizado por sólo un grupo de funcionarios para realizar sus labores y que no puede ser conocida por otros funcionarios o terceros sin autorización especial de la Entidad, y que por estar en poder o custodia de la SDH, pertenece al ámbito propio, particular y privado o semiprivado de una persona natural o jurídica por lo que su acceso podrá ser negado o exceptuado de manera motivada y por escrito, los cuales se refieren a los eventos en que el acceso pudiere causar un daño a los siguientes derechos:
a) El derecho de toda persona a la intimidad, bajo las limitaciones propias que impone la condición de servidor público
b) El derecho de toda persona a la vida, la salud o la seguridad
c)Los secretos comerciales, industriales y profesionales
d) Proyectos de inversión de empresas industriales y comerciales del Estado y Sociedades de Economía Mixta 
No obstante, entiéndase también que datos públicos clasificados,  son aquellos datos personales que no tienen naturaleza íntima, reservada, ni pública y que, por ende, su conocimiento puede interesar no sólo a su titular sino a cierto sector o grupo de personas o a la sociedad en general.";Ley estatutaria 1266 de 2008 -Hábeas Data manejo de información contenida en bases de datos personales, en especial la financiera, crediticia, comercial, de servicios y la proveniente de terceros países, – art 3 los datos personales se clasifican en públicos, semiprivados y privados. ;"Ley estatutaria 1266 de 2008 -Hábeas Data:

Los datos semiprivados son aquellos datos personales que no tienen naturaleza íntima, reservada, ni pública y que, por ende, su conocimiento puede interesar no solo a su titular sino a cierto sector o grupo de personas o a la sociedad en general.  Ejemplo de esta categoría, es el dato financiero y crediticio de actividad comercial o de servicios. 

“Esta Corporación ha reconocido que el acceso a la información semiprivada el acceso a la información es un acto compatible por la Constitución, además de la necesidad de ponderar el ejercicio del derecho al hábeas data del titular de la información semiprivada.” sentencia C-1011 de 2008

 ";La excepción aplica sólo a los datos personales del peticionario;2/9/2015;No especifica
Acciones Constitucionales;Acciones de tutela;Acciones de tutela;Español;Físico - Papel;2/9/2015;Subdirección de Gestión Judicial Responsable del Proceso;Subdirección de Gestión Judicial;Pública Clasificada;"Activo de Información que es utilizado por sólo un grupo de funcionarios para realizar sus labores y que no puede ser conocida por otros funcionarios o terceros sin autorización especial de la Entidad, y que por estar en poder o custodia de la SDH, pertenece al ámbito propio, particular y privado o semiprivado de una persona natural o jurídica por lo que su acceso podrá ser negado o exceptuado de manera motivada y por escrito, los cuales se refieren a los eventos en que el acceso pudiere causar un daño a los siguientes derechos:
a) El derecho de toda persona a la intimidad, bajo las limitaciones propias que impone la condición de servidor público
b) El derecho de toda persona a la vida, la salud o la seguridad
c)Los secretos comerciales, industriales y profesionales
d) Proyectos de inversión de empresas industriales y comerciales del Estado y Sociedades de Economía Mixta 
No obstante, entiéndase también que datos públicos clasificados,  son aquellos datos personales que no tienen naturaleza íntima, reservada, ni pública y que, por ende, su conocimiento puede interesar no sólo a su titular sino a cierto sector o grupo de personas o a la sociedad en general.";Ley estatutaria 1266 de 2008 -Hábeas Data manejo de información contenida en bases de datos personales, en especial la financiera, crediticia, comercial, de servicios y la proveniente de terceros países, – art 3 los datos personales se clasifican en públicos, semiprivados y privados. ;"Ley estatutaria 1266 de 2008 -Hábeas Data:

Los datos semiprivados son aquellos datos personales que no tienen naturaleza íntima, reservada, ni pública y que, por ende, su conocimiento puede interesar no solo a su titular sino a cierto sector o grupo de personas o a la sociedad en general.  Ejemplo de esta categoría, es el dato financiero y crediticio de actividad comercial o de servicios. 

“Esta Corporación ha reconocido que el acceso a la información semiprivada el acceso a la información es un acto compatible por la Constitución, además de la necesidad de ponderar el ejercicio del derecho al hábeas data del titular de la información semiprivada.” sentencia C-1011 de 2008

 ";La excepción aplica sólo a los datos personales de los sujetos intervinientes ;2/9/2015;No especifica
Acciones Constitucionales;Acciones populares;Acciones populares;Español;Físico - Papel;2/9/2015;Subdirección de Gestión Judicial Responsable del Proceso;Subdirección de Gestión Judicial;Pública Clasificada;"Activo de Información que es utilizado por sólo un grupo de funcionarios para realizar sus labores y que no puede ser conocida por otros funcionarios o terceros sin autorización especial de la Entidad, y que por estar en poder o custodia de la SDH, pertenece al ámbito propio, particular y privado o semiprivado de una persona natural o jurídica por lo que su acceso podrá ser negado o exceptuado de manera motivada y por escrito, los cuales se refieren a los eventos en que el acceso pudiere causar un daño a los siguientes derechos:
a) El derecho de toda persona a la intimidad, bajo las limitaciones propias que impone la condición de servidor público
b) El derecho de toda persona a la vida, la salud o la seguridad
c)Los secretos comerciales, industriales y profesionales
d) Proyectos de inversión de empresas industriales y comerciales del Estado y Sociedades de Economía Mixta 
No obstante, entiéndase también que datos públicos clasificados,  son aquellos datos personales que no tienen naturaleza íntima, reservada, ni pública y que, por ende, su conocimiento puede interesar no sólo a su titular sino a cierto sector o grupo de personas o a la sociedad en general.";Ley estatutaria 1266 de 2008 -Hábeas Data manejo de información contenida en bases de datos personales, en especial la financiera, crediticia, comercial, de servicios y la proveniente de terceros países, – art 3 los datos personales se clasifican en públicos, semiprivados y privados. ;"Ley estatutaria 1266 de 2008 -Hábeas Data:

Los datos semiprivados son aquellos datos personales que no tienen naturaleza íntima, reservada, ni pública y que, por ende, su conocimiento puede interesar no solo a su titular sino a cierto sector o grupo de personas o a la sociedad en general.  Ejemplo de esta categoría, es el dato financiero y crediticio de actividad comercial o de servicios. 

“Esta Corporación ha reconocido que el acceso a la información semiprivada el acceso a la información es un acto compatible por la Constitución, además de la necesidad de ponderar el ejercicio del derecho al hábeas data del titular de la información semiprivada.” sentencia C-1011 de 2008

 ";La excepción aplica sólo a los datos personales de los sujetos intervinientes ;2/9/2015;No especifica
Informes;Informes  a Organismos de Control ;Informes  a Organismos de Control ;Español;Físico - Papel;2/9/2015;"Despacho del Director de la DIB
Responsable del Proceso";Despacho del Director de Impuestos de Bogotá;Pública Clasificada;"Activo de Información que es utilizado por sólo un grupo de funcionarios para realizar sus labores y que no puede ser conocida por otros funcionarios o terceros sin autorización especial de la Entidad, y que por estar en poder o custodia de la SDH, pertenece al ámbito propio, particular y privado o semiprivado de una persona natural o jurídica por lo que su acceso podrá ser negado o exceptuado de manera motivada y por escrito, los cuales se refieren a los eventos en que el acceso pudiere causar un daño a los siguientes derechos:
a) El derecho de toda persona a la intimidad, bajo las limitaciones propias que impone la condición de servidor público
b) El derecho de toda persona a la vida, la salud o la seguridad
c)Los secretos comerciales, industriales y profesionales
d) Proyectos de inversión de empresas industriales y comerciales del Estado y Sociedades de Economía Mixta 
No obstante, entiéndase también que datos públicos clasificados,  son aquellos datos personales que no tienen naturaleza íntima, reservada, ni pública y que, por ende, su conocimiento puede interesar no sólo a su titular sino a cierto sector o grupo de personas o a la sociedad en general.";Ley 1712;Artículo  19. Información exceptuada por daño a los intereses públicos.;Parcial - Aplica a los informes que contienen opiniones o puntos de vista que formen parte del proceso deliberativo de los servidores públicos.;2/9/2015;No especifica
Informes;Informes a Otras Entidades;Informes a Otras Entidades;Español;Físico - Papel;2/9/2015;"Despacho del Director de la DIB
Responsable del Proceso";Despacho del Director de Impuestos de Bogotá;Pública Clasificada;"Activo de Información que es utilizado por sólo un grupo de funcionarios para realizar sus labores y que no puede ser conocida por otros funcionarios o terceros sin autorización especial de la Entidad, y que por estar en poder o custodia de la SDH, pertenece al ámbito propio, particular y privado o semiprivado de una persona natural o jurídica por lo que su acceso podrá ser negado o exceptuado de manera motivada y por escrito, los cuales se refieren a los eventos en que el acceso pudiere causar un daño a los siguientes derechos:
a) El derecho de toda persona a la intimidad, bajo las limitaciones propias que impone la condición de servidor público
b) El derecho de toda persona a la vida, la salud o la seguridad
c)Los secretos comerciales, industriales y profesionales
d) Proyectos de inversión de empresas industriales y comerciales del Estado y Sociedades de Economía Mixta 
No obstante, entiéndase también que datos públicos clasificados,  son aquellos datos personales que no tienen naturaleza íntima, reservada, ni pública y que, por ende, su conocimiento puede interesar no sólo a su titular sino a cierto sector o grupo de personas o a la sociedad en general.";Ley 1712;Artículo  19. Información exceptuada por daño a los intereses públicos.;Parcial - Aplica a los informes que contienen opiniones o puntos de vista que formen parte del proceso deliberativo de los servidores públicos.;2/9/2015;No especifica
Conceptos;Conceptos jurídicos tributarios;Conceptos jurídicos tributarios;Español;Físico - Papel;2/9/2015;Subdirección Jurídica Tributaria Responsable del proceso.;Subdirección Jurídico Tributaria;Pública Clasificada;"Activo de Información que es utilizado por sólo un grupo de funcionarios para realizar sus labores y que no puede ser conocida por otros funcionarios o terceros sin autorización especial de la Entidad, y que por estar en poder o custodia de la SDH, pertenece al ámbito propio, particular y privado o semiprivado de una persona natural o jurídica por lo que su acceso podrá ser negado o exceptuado de manera motivada y por escrito, los cuales se refieren a los eventos en que el acceso pudiere causar un daño a los siguientes derechos:
a) El derecho de toda persona a la intimidad, bajo las limitaciones propias que impone la condición de servidor público
b) El derecho de toda persona a la vida, la salud o la seguridad
c)Los secretos comerciales, industriales y profesionales
d) Proyectos de inversión de empresas industriales y comerciales del Estado y Sociedades de Economía Mixta 
No obstante, entiéndase también que datos públicos clasificados,  son aquellos datos personales que no tienen naturaleza íntima, reservada, ni pública y que, por ende, su conocimiento puede interesar no sólo a su titular sino a cierto sector o grupo de personas o a la sociedad en general.";Ley 1712;Artículo  19. Información exceptuada por daño a los intereses públicos.;Parcial - Aplica a los documentos que contienen opiniones o puntos de vista que formen parte del proceso deliberativo de los servidores públicos.;2/9/2015;No especifica
Informes;Informes  a Organismos de Control ;Informes  a Organismos de Control ;Español;Físico - Papel;2/9/2015;Subdirección Jurídica Tributaria Responsable del proceso.;Subdirección Jurídico Tributaria;Pública Clasificada;"Activo de Información que es utilizado por sólo un grupo de funcionarios para realizar sus labores y que no puede ser conocida por otros funcionarios o terceros sin autorización especial de la Entidad, y que por estar en poder o custodia de la SDH, pertenece al ámbito propio, particular y privado o semiprivado de una persona natural o jurídica por lo que su acceso podrá ser negado o exceptuado de manera motivada y por escrito, los cuales se refieren a los eventos en que el acceso pudiere causar un daño a los siguientes derechos:
a) El derecho de toda persona a la intimidad, bajo las limitaciones propias que impone la condición de servidor público
b) El derecho de toda persona a la vida, la salud o la seguridad
c)Los secretos comerciales, industriales y profesionales
d) Proyectos de inversión de empresas industriales y comerciales del Estado y Sociedades de Economía Mixta 
No obstante, entiéndase también que datos públicos clasificados,  son aquellos datos personales que no tienen naturaleza íntima, reservada, ni pública y que, por ende, su conocimiento puede interesar no sólo a su titular sino a cierto sector o grupo de personas o a la sociedad en general.";Ley 1712;Artículo  19. Información exceptuada por daño a los intereses públicos.;Parcial - Aplica a los documentos que contienen opiniones o puntos de vista que formen parte del proceso deliberativo de los servidores públicos.;2/9/2015;No especifica
Informes;Informes a Otras Entidades;Informes a Otras Entidades;Español;Físico - Papel;2/9/2015;Subdirección Jurídica Tributaria Responsable del proceso.;Subdirección Jurídico Tributaria;Pública Clasificada;"Activo de Información que es utilizado por sólo un grupo de funcionarios para realizar sus labores y que no puede ser conocida por otros funcionarios o terceros sin autorización especial de la Entidad, y que por estar en poder o custodia de la SDH, pertenece al ámbito propio, particular y privado o semiprivado de una persona natural o jurídica por lo que su acceso podrá ser negado o exceptuado de manera motivada y por escrito, los cuales se refieren a los eventos en que el acceso pudiere causar un daño a los siguientes derechos:
a) El derecho de toda persona a la intimidad, bajo las limitaciones propias que impone la condición de servidor público
b) El derecho de toda persona a la vida, la salud o la seguridad
c)Los secretos comerciales, industriales y profesionales
d) Proyectos de inversión de empresas industriales y comerciales del Estado y Sociedades de Economía Mixta 
No obstante, entiéndase también que datos públicos clasificados,  son aquellos datos personales que no tienen naturaleza íntima, reservada, ni pública y que, por ende, su conocimiento puede interesar no sólo a su titular sino a cierto sector o grupo de personas o a la sociedad en general.";Ley 1712;Artículo  19. Información exceptuada por daño a los intereses públicos.;Parcial - Aplica a los informes que contienen opiniones o puntos de vista que formen parte del proceso deliberativo de los servidores públicos.;2/9/2015;No especifica
Informes;Informes de Gestión ;Informes de Gestión ;Español;Físico - Papel;2/9/2015;Subdirección de Impuestos a la Propiedad Responsable del proceso;Subdirección de Impuesto a la propiedad;Pública Clasificada;"Activo de Información que es utilizado por sólo un grupo de funcionarios para realizar sus labores y que no puede ser conocida por otros funcionarios o terceros sin autorización especial de la Entidad, y que por estar en poder o custodia de la SDH, pertenece al ámbito propio, particular y privado o semiprivado de una persona natural o jurídica por lo que su acceso podrá ser negado o exceptuado de manera motivada y por escrito, los cuales se refieren a los eventos en que el acceso pudiere causar un daño a los siguientes derechos:
a) El derecho de toda persona a la intimidad, bajo las limitaciones propias que impone la condición de servidor público
b) El derecho de toda persona a la vida, la salud o la seguridad
c)Los secretos comerciales, industriales y profesionales
d) Proyectos de inversión de empresas industriales y comerciales del Estado y Sociedades de Economía Mixta 
No obstante, entiéndase también que datos públicos clasificados,  son aquellos datos personales que no tienen naturaleza íntima, reservada, ni pública y que, por ende, su conocimiento puede interesar no sólo a su titular sino a cierto sector o grupo de personas o a la sociedad en general.";Ley 1712;Artículo  19. Información exceptuada por daño a los intereses públicos.;Parcial - Aplica a los informes que contienen opiniones o puntos de vista que formen parte del proceso deliberativo de los servidores públicos.;2/9/2015;No especifica
Planes;Planes Operativos;Planes Operativos;Español;Físico - Papel;2/9/2015;Subdirección de Impuestos a la Propiedad Responsable del proceso;Subdirección de Impuesto a la propiedad;Pública Clasificada;"Activo de Información que es utilizado por sólo un grupo de funcionarios para realizar sus labores y que no puede ser conocida por otros funcionarios o terceros sin autorización especial de la Entidad, y que por estar en poder o custodia de la SDH, pertenece al ámbito propio, particular y privado o semiprivado de una persona natural o jurídica por lo que su acceso podrá ser negado o exceptuado de manera motivada y por escrito, los cuales se refieren a los eventos en que el acceso pudiere causar un daño a los siguientes derechos:
a) El derecho de toda persona a la intimidad, bajo las limitaciones propias que impone la condición de servidor público
b) El derecho de toda persona a la vida, la salud o la seguridad
c)Los secretos comerciales, industriales y profesionales
d) Proyectos de inversión de empresas industriales y comerciales del Estado y Sociedades de Economía Mixta 
No obstante, entiéndase también que datos públicos clasificados,  son aquellos datos personales que no tienen naturaleza íntima, reservada, ni pública y que, por ende, su conocimiento puede interesar no sólo a su titular sino a cierto sector o grupo de personas o a la sociedad en general.";Ley 1712;Artículo  19. Información exceptuada por daño a los intereses públicos.;Parcial - Aplica a los documentos que contienen opiniones o puntos de vista que formen parte del proceso deliberativo de los servidores públicos.;2/9/2015;No especifica
Planes;Planes de Mejoramiento;Planes de Mejoramiento;Español;Físico - Papel;2/9/2015;Subdirección de Impuestos a la Propiedad Responsable del proceso;Subdirección de Impuesto a la propiedad;Pública Clasificada;"Activo de Información que es utilizado por sólo un grupo de funcionarios para realizar sus labores y que no puede ser conocida por otros funcionarios o terceros sin autorización especial de la Entidad, y que por estar en poder o custodia de la SDH, pertenece al ámbito propio, particular y privado o semiprivado de una persona natural o jurídica por lo que su acceso podrá ser negado o exceptuado de manera motivada y por escrito, los cuales se refieren a los eventos en que el acceso pudiere causar un daño a los siguientes derechos:
a) El derecho de toda persona a la intimidad, bajo las limitaciones propias que impone la condición de servidor público
b) El derecho de toda persona a la vida, la salud o la seguridad
c)Los secretos comerciales, industriales y profesionales
d) Proyectos de inversión de empresas industriales y comerciales del Estado y Sociedades de Economía Mixta 
No obstante, entiéndase también que datos públicos clasificados,  son aquellos datos personales que no tienen naturaleza íntima, reservada, ni pública y que, por ende, su conocimiento puede interesar no sólo a su titular sino a cierto sector o grupo de personas o a la sociedad en general.";Ley 1712;Artículo  19. Información exceptuada por daño a los intereses públicos.;Parcial - Aplica a los documentos que contienen opiniones o puntos de vista que formen parte del proceso deliberativo de los servidores públicos.;2/9/2015;No especifica
Programas;Programas de Gestión Tributaria;Programas de Gestión Tributaria;Español;Físico - Papel;2/9/2015;Subdirección de Impuestos a la Propiedad Responsable del proceso;Subdirección de Impuesto a la propiedad;Pública Clasificada;"Activo de Información que es utilizado por sólo un grupo de funcionarios para realizar sus labores y que no puede ser conocida por otros funcionarios o terceros sin autorización especial de la Entidad, y que por estar en poder o custodia de la SDH, pertenece al ámbito propio, particular y privado o semiprivado de una persona natural o jurídica por lo que su acceso podrá ser negado o exceptuado de manera motivada y por escrito, los cuales se refieren a los eventos en que el acceso pudiere causar un daño a los siguientes derechos:
a) El derecho de toda persona a la intimidad, bajo las limitaciones propias que impone la condición de servidor público
b) El derecho de toda persona a la vida, la salud o la seguridad
c)Los secretos comerciales, industriales y profesionales
d) Proyectos de inversión de empresas industriales y comerciales del Estado y Sociedades de Economía Mixta 
No obstante, entiéndase también que datos públicos clasificados,  son aquellos datos personales que no tienen naturaleza íntima, reservada, ni pública y que, por ende, su conocimiento puede interesar no sólo a su titular sino a cierto sector o grupo de personas o a la sociedad en general.";Ley 1712;Artículo  19. Información exceptuada por daño a los intereses públicos.;Parcial - Aplica a los documentos que contienen opiniones o puntos de vista que formen parte del proceso deliberativo de los servidores públicos.;2/9/2015;No especifica
